,movie_title,rating,vote
0,A remény rabjai,9.233466005908276,2573229
1,A keresztapa,9.155501417331894,1771940
2,A sötét lovag,8.983873850881151,2539863
3,A keresztapa II,8.983773844564787,1225326
4,Tizenkét dühös ember,8.946108465054088,760006
5,Schindler listája,8.934415502901954,1310769
6,A Gyűrűk Ura: A király visszatér,8.919515728180052,1769931
7,Ponyvaregény,8.851711378367787,1975054
8,A Gyűrűk Ura: A gyűrű szövetsége,8.802732315848647,1791516
9," A Jó, a Rossz és a Csúf",8.794595625257807,739715
10,Forrest Gump,8.767205595292774,1984958
11,Harcosok klubja,8.750829877726702,2025085
12,Eredet,8.732882998245266,2258436
13,A Gyűrűk Ura: A két torony,8.726580031390254,1598918
14,A Birodalom visszavág,8.70189676782477,1244815
15,Mátrix,8.671247762045214,1851478
16,Nagymenők,8.65062482244309,1110342
17,Száll a kakukk fészkére,8.641997367463299,979739
18,Hetedik,8.603628127118675,1578267
19,A hét szamuráj,8.599554060779685,337851
