movie_title,rating,vote
The Shawshank Redemption,9.23346600590828,2573229
The Godfather,9.15550141733189,1771940
The Dark Knight,8.98387385088115,2539863
The Godfather Part II,8.98377384456479,1225326
12 Angry Men,8.94610846505409,760006
Schindler's List,8.93441550290195,1310769
The Lord of the Rings: The Return of the King,8.91951572818005,1769931
Pulp Fiction,8.85171137836779,1975054
The Lord of the Rings: The Fellowship of the Ring,8.80273231584865,1791516
"The Good, the Bad and the Ugly",8.79459562525781,739715
Forrest Gump,8.76720559529277,1984958
Fight Club,8.7508298777267,2025085
Inception,8.73288299824527,2258436
The Lord of the Rings: The Two Towers,8.72658003139025,1598918
Star Wars: Episode V - The Empire Strikes Back,8.70189676782477,1244815
The Matrix,8.67124776204521,1851478
Goodfellas,8.65062482244309,1110342
One Flew over the Cuckoo's Nest,8.6419973674633,979739
Seven,8.60362812711868,1578267
Seven Samurai,8.59955406077969,337851
